OID_,GEOID10,ZONE_CODE,COUNT,AREA,MEAN
60,06067008124,60,2707.000000000000000,2436300.000000000000000,-0.235384382902034
61,06067009321,61,1984.000000000000000,1785600.000000000000000,-0.188062887075507
62,06067008138,62,2007.000000000000000,1806300.000000000000000,-0.182100369776894
63,06067008120,63,2200.000000000000000,1980000.000000000000000,-0.189785305252127
64,06067009617,64,2470.000000000000000,2223000.000000000000000,-0.272520533958652
65,06067009615,65,3087.000000000000000,2778300.000000000000000,-0.215770924792108
66,06067009614,66,2478.000000000000000,2230200.000000000000000,-0.199353644667667
67,06067009501,67,75381.000000000000000,67842900.000000000000000,-0.271791016744635
68,06067009320,68,1850.000000000000000,1665000.000000000000000,-0.172899445443087
69,06067009112,69,3327.000000000000000,2994300.000000000000000,-0.197241293072845
70,06067008911,70,609.000000000000000,548100.000000000000000,-0.211860157108953
71,06067008211,71,8590.000000000000000,7731000.000000000000000,-0.320980758797615
72,06067008134,72,1801.000000000000000,1620900.000000000000000,-0.208834700601828
73,06067008127,73,2581.000000000000000,2322900.000000000000000,-0.157377478760782
74,06067008113,74,1784.000000000000000,1605600.000000000000000,-0.208800173996773
75,06067008111,75,3150.000000000000000,2835000.000000000000000,-0.218531102475429
76,06067008141,76,2327.000000000000000,2094300.000000000000000,-0.218933963923238
77,06067008132,77,2181.000000000000000,1962900.000000000000000,-0.216600448523419
78,06067008142,78,1682.000000000000000,1513800.000000000000000,-0.236039468328669
79,06067008144,79,1562.000000000000000,1405800.000000000000000,-0.231612405046897
80,06067008131,80,3242.000000000000000,2917800.000000000000000,-0.226124278440920
81,06067007424,81,1588.000000000000000,1429200.000000000000000,-0.178873767985544
82,06067007421,82,5088.000000000000000,4579200.000000000000000,-0.183179497413770
83,06067007422,83,1076.000000000000000,968400.000000000000000,-0.173394729570247
84,06067005508,84,1058.000000000000000,952200.000000000000000,-0.214180822757078
85,06067009611,85,2151.000000000000000,1935900.000000000000000,-0.190768261862679
86,06067009608,86,4234.000000000000000,3810600.000000000000000,-0.181725446843966
87,06067008404,87,3291.000000000000000,2961900.000000000000000,-0.208460007288249
88,06067007904,88,2513.000000000000000,2261700.000000000000000,-0.237850749627248
89,06067007903,89,2822.000000000000000,2539800.000000000000000,-0.224886513652423
90,06067007906,90,2121.000000000000000,1908900.000000000000000,-0.215457036569170
91,06067008702,91,3633.000000000000000,3269700.000000000000000,-0.245422321825603
92,06067007802,92,5381.000000000000000,4842900.000000000000000,-0.307774663086334
93,06067007801,93,3989.000000000000000,3590100.000000000000000,-0.265216877916157
94,06067007702,94,2928.000000000000000,2635200.000000000000000,-0.240780030378392
95,06067007701,95,2723.000000000000000,2450700.000000000000000,-0.231419188392855
96,06067009609,96,1603.000000000000000,1442700.000000000000000,-0.205518935961011
97,06067004011,97,1359.000000000000000,1223100.000000000000000,-0.176713655570978
98,06067004012,98,2262.000000000000000,2035800.000000000000000,-0.175636938877828
99,06067004009,99,2074.000000000000000,1866600.000000000000000,-0.207540335902439
100,06067007010,100,2946.000000000000000,2651400.000000000000000,-0.221169701629661
101,06067007602,101,2756.000000000000000,2480400.000000000000000,-0.227627635704008
102,06067007601,102,3350.000000000000000,3015000.000000000000000,-0.223413063310254
103,06067006202,103,1813.000000000000000,1631700.000000000000000,-0.169074281715976
104,06067006201,104,2481.000000000000000,2232900.000000000000000,-0.209703150028979
105,06067006102,105,1500.000000000000000,1350000.000000000000000,-0.196809063681091
106,06067006003,106,1715.000000000000000,1543500.000000000000000,-0.224400988706651
107,06067006002,107,2164.000000000000000,1947600.000000000000000,-0.207943579497921
108,06067006004,108,1458.000000000000000,1312200.000000000000000,-0.243331966327634
109,06067007503,109,2050.000000000000000,1845000.000000000000000,-0.175836849661498
110,06067009610,110,2075.000000000000000,1867500.000000000000000,-0.186562918479139
111,06067009606,111,3000.000000000000000,2700000.000000000000000,-0.172398832255975
112,06067007204,112,9096.000000000000000,8186400.000000000000000,-0.231410252995602
113,06067007007,113,4357.000000000000000,3921300.000000000000000,-0.237966759277595
114,06067007014,114,2156.000000000000000,1940400.000000000000000,-0.223248296083816
115,06067007013,115,741.000000000000000,666900.000000000000000,-0.203612906448593
116,06067007004,116,3195.000000000000000,2875500.000000000000000,-0.168858213774009
117,06067005901,117,3789.000000000000000,3410100.000000000000000,-0.244673556497030
118,06067005804,118,3262.000000000000000,2935800.000000000000000,-0.239704474492256
119,06067005803,119,4191.000000000000000,3771900.000000000000000,-0.264050970616350
120,06067005801,120,2973.000000000000000,2675700.000000000000000,-0.229090010675264
121,06067005702,121,3650.000000000000000,3285000.000000000000000,-0.278706884764340
122,06067005701,122,2932.000000000000000,2638800.000000000000000,-0.254197290807894
123,06067005606,123,2855.000000000000000,2569500.000000000000000,-0.271172285641033
124,06067005605,124,1431.000000000000000,1287900.000000000000000,-0.207765393945434
125,06067005601,125,2882.000000000000000,2593800.000000000000000,-0.181863132678142
126,06067008501,126,11493.000000000000000,10343700.000000000000000,-0.128174122585347
127,06067006900,127,5861.000000000000000,5274900.000000000000000,-0.210210423182900
128,06067006800,128,2753.000000000000000,2477700.000000000000000,-0.214807342335344
129,06067006702,129,4359.000000000000000,3923100.000000000000000,-0.197616584867049
130,06067006701,130,3644.000000000000000,3279600.000000000000000,-0.173458714431978
131,06067006600,131,2451.000000000000000,2205900.000000000000000,-0.226433611947242
132,06067006500,132,4313.000000000000000,3881700.000000000000000,-0.206504280537815
133,06067007416,133,1320.000000000000000,1188000.000000000000000,-0.199335968960077
134,06067005506,134,1460.000000000000000,1314000.000000000000000,-0.141960486147612
135,06067006101,135,3082.000000000000000,2773800.000000000000000,-0.271341611044879
136,06067005502,136,3184.000000000000000,2865600.000000000000000,-0.136741589798768
137,06067005404,137,4633.000000000000000,4169700.000000000000000,-0.238659819336791
138,06067005402,138,6257.000000000000000,5631300.000000000000000,-0.207148084783279
139,06067009601,139,8472.000000000000000,7624800.000000000000000,-0.188255312463442
140,06067008206,140,3146.000000000000000,2831400.000000000000000,-0.217722945772016
141,06067005904,141,2869.000000000000000,2582100.000000000000000,-0.254306289762436
142,06067005510,142,728.000000000000000,655200.000000000000000,-0.182725446370359
143,06067006400,143,3814.000000000000000,3432600.000000000000000,-0.172422946889872
144,06067006300,144,3122.000000000000000,2809800.000000000000000,-0.197315165410887
145,06067005403,145,1446.000000000000000,1301400.000000000000000,-0.254457798787749
146,06067007012,146,1180.000000000000000,1062000.000000000000000,-0.219600876832728
147,06067005202,147,2080.000000000000000,1872000.000000000000000,-0.229305378833137
148,06067005201,148,2276.000000000000000,2048400.000000000000000,-0.198061000138173
149,06067004906,149,1066.000000000000000,959400.000000000000000,-0.175476257394000
150,06067004905,150,1902.000000000000000,1711800.000000000000000,-0.177430376121588
151,06067004903,151,1969.000000000000000,1772100.000000000000000,-0.162732319836824
152,06067008910,152,1879.000000000000000,1691100.000000000000000,-0.236346478615396
153,06067008122,153,2785.000000000000000,2506500.000000000000000,-0.228501216803729
154,06067008139,154,1485.000000000000000,1336500.000000000000000,-0.142998820270948
155,06067008137,155,1207.000000000000000,1086300.000000000000000,-0.233350352828592
156,06067008145,156,3753.000000000000000,3377700.000000000000000,-0.234106517673063
